"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000148175",3890.73275098414,1.38282359114439,0.0437555026842588,31.603421428452,3.3133405222231e-219,7.03792507396918e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.133079264336,2.98022966661179,0.0943964879335018,31.5714041046869,9.11856925423851e-219,1.90882049722059e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.947391279618,4.32647527882777,0.137043659737915,31.5700506473762,9.51705382342816e-219,1.96377607750852e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.80745789682,1.48928931585626,0.047424324852982,31.4034900965515,1.8131453851841e-216,3.68860168219706e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.356947987142,-2.66969397631146,0.0851020405700737,-31.370504848391,5.11112643698829e-216,1.02534875355359e-213,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6163756395,1.14195333283074,0.0364146930000521,31.359685850684,7.17858976452015e-216,1.4203774049141e-213,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.4276653799,-1.33077601857746,0.0432801801826672,-30.7479315696196,1.3031668423489e-207,2.54364079336318e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.94319402596,2.10495218878633,0.0686041897671932,30.6825602915716,9.72612953276269e-207,1.87312286628299e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.135495856503,2.8656926400918,0.0934563471498274,30.6634351490068,1.74975992037236e-206,3.32546477498136e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.46010311203,-1.9101909018639,0.0625821161672034,-30.5229515850879,1.29269795851311e-204,2.42489991074848e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.472277042376,-3.43604515882332,0.113013960240261,-30.4037231464013,4.90447465012958e-203,9.0820810059579e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.58685537456,4.22676961726902,0.13933989357892,30.334238879514,4.05525000186173e-202,7.41443430720136e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2606696731,1.74028600126514,0.05748342986598,30.2745679115275,2.47857827251515e-201,4.4750730710261e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.53023558315,-1.94445161459461,0.0645378211522947,-30.1288698607618,2.02923760278271e-199,3.61855653513499e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.56523216225,-1.58281436438789,0.0526705012213719,-30.0512493271213,2.10276992802999e-198,3.7039522976177e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.854922361778,-3.28304844427299,0.109414862912131,-30.005507084623,8.31732581990421e-198,1.44741511015297e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2840.98739887941,-1.52000757074463,0.0507698205492465,-29.9391952601099,6.08291803712989e-197,1.04597223962267e-194,"PXN","5829","paxillin"
"ENSG00000112984",587.860214774126,-3.36358927870186,0.112788984843287,-29.8219660667693,2.02811182626769e-195,3.44635849630713e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.5464047883,1.5374673310877,0.0515782588379303,29.8084380071601,3.03708985055877e-195,5.10089834900823e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000171617",3172.7799596261,1.72310520700984,0.0580227165360212,29.697079176569,8.37525465672356e-194,1.39048480760592e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000116729",14028.0587694051,1.67576020841985,0.0564294541297179,29.6965518143712,8.50760253876436e-194,1.39640694397628e-191,"WLS","79971","wntless Wnt ligand secretion mediator"
"ENSG00000173546",2782.6562125227,-1.70829379730564,0.0576029717296948,-29.6563483794188,2.80898156254522e-193,4.55875614487677e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.98865338504,1.39139230830852,0.0470001687578559,29.6039853702856,1.32780181866902e-192,2.13097438542836e-190,"INHBA","3624","inhibin subunit beta A"
"ENSG00000133818",917.634913192239,-2.58016601907966,0.0872460241894364,-29.5734509744235,3.28060565894306e-192,5.20715034481028e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.2859124253,1.95683767257807,0.0663877433715404,29.475887764803,5.86651874847361e-191,9.21043443510357e-189,"KRR1","11103","KRR1, small subunit processome component homolog"
"ENSG00000064666",5624.31645371714,-1.64266798197691,0.0557790908927796,-29.449529486497,1.27654238701992e-190,1.98262131592643e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.8395574466,-1.35586462685288,0.0460641401530137,-29.4342762580401,2.00121825760027e-190,3.07506345880621e-188,"NOTCH2","4853","notch 2"
"ENSG00000066279",593.318071801754,-3.10042573362133,0.105376452363785,-29.4223772396314,2.84148765198704e-190,4.32025764687376e-188,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000116991",845.472417332459,2.42021299730438,0.082462236319833,29.3493495364046,2.43562686467652e-189,3.66460358681122e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.70529976337,1.7412580249888,0.0593539028868008,29.3368749197455,3.513709745206e-189,5.23216737729438e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.35472383514,1.92246658159347,0.0659642209605014,29.1440807395364,9.92914372575794e-187,1.46343420382498e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.89920104657,1.84670743315146,0.0635905465519868,29.0405969642317,2.02270928197519e-185,2.95111241099492e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.45301357175,-1.50757898126139,0.0520635875641752,-28.9564943906929,2.32471731773986e-184,3.35782169374345e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.04336170859,-1.94818925073352,0.0673507381830231,-28.9260266968327,5.62050859850048e-184,8.03788378185554e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.13969848167,-1.40306695619318,0.0486473802483343,-28.8415727430917,6.46307432026681e-183,9.15222014528763e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.7067239439,-1.18092362821422,0.0410041108694066,-28.8001276744015,2.13707209313914e-182,2.99688051585453e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.82122681899,1.85640445033885,0.0645043849641897,28.7795078019804,3.87208678787283e-182,5.37773284269568e-180,"MCC","4163","MCC, WNT signaling pathway regulator"
"ENSG00000145147",601.496150832824,-2.68624376458953,0.0934497091220867,-28.7453411019193,1.03573431557692e-181,1.42477585278029e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.3315567037,-1.61369373082998,0.0561688846533361,-28.7293176780951,1.64236505084871e-181,2.23795479193007e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.50549794996,-1.47511142680247,0.0513552940129494,-28.7236487523666,1.93321123582365e-181,2.60965449441465e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.51658198195,2.36783680737714,0.0824511554569291,28.7180548805535,2.27058505997782e-181,3.03669727836292e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.62834404374,3.86336092718332,0.135057598210366,28.6052838076221,5.77526815531155e-180,7.65302506746056e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41758.634581627,-1.22513134733088,0.0428497154052633,-28.5913531920541,8.60602723623366e-180,1.13004961272872e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.654791397171,-2.53274335126816,0.0890427898347941,-28.4441149695253,5.76233930780495e-178,7.49830891548961e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13754.0244997112,1.28385781323673,0.0451444779861004,28.4388671773326,6.69112897388477e-178,8.6291666873921e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.59475497444,1.50613614674098,0.0531035318959071,28.3622594009998,5.90968352103219e-177,7.55393529006983e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.36263298428,2.05095641398025,0.0724631492721602,28.3034402255577,3.13488633904708e-176,3.97195598957861e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.71761635632,1.57264167898736,0.0556293348441091,28.2700068838571,8.08080600674327e-176,1.01494923444695e-173,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000117399",548.040464622995,-3.23333855040351,0.114664189169751,-28.1983291716022,6.13002886090057e-175,7.63294283334895e-173,"CDC20","991","cell division cycle 20"
"ENSG00000147065",17820.2264591071,-1.03006069836023,0.0365312160094187,-28.196726276362,6.41381234784423e-175,7.91804320959504e-173,"MSN","4478","moesin"
"ENSG00000135926",1251.31044735751,-1.8533657398565,0.0659219326817103,-28.1145540560086,6.50383110187594e-174,7.96113020639797e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.14826063803,1.54858673013396,0.0552475372370883,28.0299685303326,7.00986769894784e-173,8.50844781879014e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.76628320227,-1.64958574718654,0.059066166737875,-27.9277603117045,1.22809269863859e-171,1.47821424492799e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.779717496403,2.6554166281609,0.0952366372790133,27.8823014338627,4.3737405477755e-171,5.22101722909664e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52976704979,2.35388060382236,0.0844472611308672,27.8739721371729,5.51858720985792e-171,6.53364538190064e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.51328985434,-1.28563779840693,0.0461456636901867,-27.8604249152956,8.05368620171326e-171,9.45751573150783e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.79713475563,2.83426634217517,0.101932393214931,27.80535463539,3.73700080866337e-170,4.35300320002691e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.15401984027,-1.89103573488605,0.0682499726155479,-27.7074944123165,5.67156309351651e-169,6.55360458582019e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.707225165261,2.13213192966145,0.0770963911761314,27.6554050991889,2.40287089898801e-168,2.75452914801451e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.68583432739,2.27800773094681,0.0824223338531299,27.6382337705462,3.86521123632905e-168,4.39599299980604e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.34183237625,2.83094842789935,0.102943410560444,27.5000450488975,1.75345763341088e-166,1.97866734820209e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.52572102309,-1.57931749964198,0.0575128245604703,-27.4602666746345,5.23909763468268e-166,5.86616482444626e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.66436972857,-1.74223553092127,0.0635088906770101,-27.4329391105543,1.11027309839881e-165,1.23359881794403e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.655092342955,3.41309100098008,0.124620343588526,27.3879119788781,3.82079003737233e-165,4.21278559540503e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.909841016016,-2.79223618174901,0.102058863701363,-27.3590757380901,8.422077408706e-165,9.21579440085981e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.40198056749,-2.03744374501756,0.0744795700067388,-27.3557399006629,9.22795992564248e-165,1.00217032455624e-162,"SUB1","10923","SUB1 homolog, transcriptional regulator"
"ENSG00000166851",502.670787352456,-3.32917264105963,0.121701966059597,-27.3551262058441,9.38439552834898e-165,1.01155379859308e-162,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.423243551,-1.50600291835543,0.0550906758681906,-27.3368023648625,1.54993742988406e-164,1.65831823979595e-162,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000072041",2369.318077612,5.09741931602036,0.186823996300938,27.2846069934688,6.45989468464455e-164,6.86078814889749e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000076641",954.696210350832,2.03269591803774,0.0745039185030327,27.2830739493923,6.73620280255539e-164,7.10202286716131e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000136378",1190.07168452718,2.13143717134654,0.0788454946258144,27.0330877047817,6.03797004138014e-161,6.31974197664455e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.535671630837,-3.0975978392076,0.114605342041321,-27.028389637289,6.85674909360487e-161,7.12509956172868e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.624514168499,-3.0230735056473,0.11194168042092,-27.0057899281127,1.26372149551108e-160,1.30379952008301e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.86277607382,-1.74437712691744,0.0649626450971699,-26.852002782649,7.99238469701225e-159,8.18737621018759e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.74922502436,-1.43648294778152,0.0535207120345543,-26.839757790481,1.11080673659829e-158,1.12989383826942e-156,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.5195216538,-2.02410664057185,0.0754209879835359,-26.8374453144753,1.18203329613472e-158,1.19393628876713e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.66095330442,1.72041370547585,0.0641644443100084,26.8125707933155,2.30578238264665e-158,2.31282782881585e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.5379770862,-1.36853692544212,0.051070584313717,-26.7969701900305,3.50493171273983e-158,3.4913954247458e-156,"TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.61788907386,2.17989412161953,0.0814073556419268,26.7776063284486,5.8920103406001e-158,5.82905461367314e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1777233848,-2.06896343836132,0.0776023111986736,-26.6611059181531,1.33054821102928e-156,1.30737675919095e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.40525287538,-1.54573140515666,0.0580622760474146,-26.6219568088304,3.78122728322682e-156,3.69027343776542e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.765894455363,-2.72042670143258,0.102254753078454,-26.6044034094469,6.03670383493576e-156,5.85195638871222e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.25543626211,5.52539812255107,0.20779286769572,26.5908940177973,8.65106716146594e-156,8.33040093868094e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.35273604765,-1.01640769565413,0.0383257422185929,-26.520235142662,5.66403884870792e-155,5.41797199541306e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.8216520685,1.09982479826982,0.0415327280258256,26.480918797001,1.60791349864621e-154,1.52794095884513e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.524171712053,-2.99310607095959,0.113348481883565,-26.4062298958199,1.16207852886416e-153,1.09706289352378e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.15686979659,-1.34481579997882,0.0509606623621535,-26.3892920076637,1.8184279645962e-153,1.70554373510568e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.505513692337,2.80828022748489,0.10642643820767,26.3870545212186,1.92918976050874e-153,1.79775592908311e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18989109004,1.32452779134409,0.0502338210485124,26.36725145923,3.25501576923279e-153,3.01381075453836e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45776196447,1.72001659912089,0.065246666404236,26.3617544605961,3.76342957002219e-153,3.46235520442041e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.15249053646,1.67890693561167,0.0639039201221707,26.2723622025372,3.96963378380653e-152,3.62894875780389e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.0217631405,-1.00323717412081,0.0382113221675445,-26.2549714904378,6.27189138719319e-152,5.69755969790053e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.586921415435,3.50777917350698,0.134101057204343,26.1577294514675,8.04903116019238e-151,7.26626287986367e-149,"RIPOR3","140876","RIPOR family member 3"
